,Unnamed: 0,time,median_100_200Hz,avg_100_200Hz,median_400_600Hz,avg_400_600Hz,median_800_1000Hz,avg_800_1000Hz,median_1000_1200Hz,avg_1000_1200Hz,median_1600_1800Hz,avg_1600_1800Hz,median_2000_2600Hz,avg_2000_2600Hz,median_3000_4000Hz,avg_3000_4000Hz
21,21,2023-06-03 10:45:00,-10.306067690789378,-10.11641139367012,-9.457623329447756,-9.164135661504424,-8.56597259157154,-8.391618399939874,-8.938723775581629,-8.751900382301919,-10.355095461639644,-10.194497304825404,-10.884537341681757,-10.681728298200412,-11.542556157165372,-11.33050330997483
22,22,2023-06-03 11:15:00,-10.306067690789378,-10.11641139367012,-9.457623329447756,-9.159839474144956,-8.588520900466861,-8.392240025416267,-8.990657984679306,-8.79954012460994,-10.361115812762856,-10.198344136075873,-10.88629380035034,-10.684952518939864,-11.543163051153035,-11.336577276661377
23,23,2023-06-03 11:45:00,-10.273314921132863,-10.0771061930202,-9.455498354264549,-9.144309991935746,-8.597669448843114,-8.40914723481392,-9.004259936017773,-8.820296813905392,-10.375779348604189,-10.21589141710528,-10.897566658778052,-10.69460605434813,-11.563994813825532,-11.357941704507198
24,24,2023-06-03 12:15:00,-10.273314921132863,-10.0771061930202,-9.45954025525488,-9.133900203993369,-8.607183870862777,-8.423511313402845,-9.004259936017773,-8.820296813905392,-10.375779348604189,-10.21589141710528,-10.897566658778052,-10.69460605434813,-11.569406241562715,-11.36263169620652
25,25,2023-06-03 12:45:00,-10.273314921132863,-10.0771061930202,-9.45954025525488,-9.12635483930354,-8.607183870862777,-8.423511313402845,-9.004259936017773,-8.820296813905392,-10.358396492979349,-10.196756063465047,-10.897566658778052,-10.69460605434813,-11.570205767683808,-11.363863482070968
26,26,2023-06-03 13:15:00,-10.052908223824618,-9.842972917894503,-9.45954025525488,-9.12635483930354,-8.607183870862777,-8.423511313402845,-9.004259936017773,-8.820296813905392,-10.354785742693435,-10.194290739998769,-10.88629380035034,-10.684952518939864,-11.58186518476671,-11.377383961564774
27,27,2023-06-03 13:45:00,-9.857902451438338,-9.627265920028012,-9.460228489889726,-9.12635483930354,-8.597669448843114,-8.40914723481392,-8.990187307177516,-8.817342197885944,-10.354785742693435,-10.19286828190362,-10.879533528775111,-10.67101649764488,-11.59715533616193,-11.39251730807966
28,28,2023-06-03 14:15:00,-9.79336487772431,-9.590300578542834,-9.46673766541499,-9.133900203993369,-8.577327550819561,-8.378350568215042,-8.98388389127828,-8.8019862454428,-10.349334616327976,-10.18682014323675,-10.837575793053988,-10.6390205055978,-11.612003797881163,-11.410647364097668
29,29,2023-06-03 14:45:00,-9.76458749183095,-9.551526697989637,-9.483301161147354,-9.154853725195728,-8.570608415020395,-8.354745293282736,-8.962160377186175,-8.79721745339124,-10.312441965273935,-10.14850496465907,-10.83582144463053,-10.636462394967356,-11.624670596480655,-11.423661445570636
30,30,2023-06-03 15:15:00,-9.705664629817,-9.50683969947289,-9.48438741124557,-9.177337922938518,-8.559143893199963,-8.354745293282736,-8.962160377186175,-8.79721745339124,-10.248905323366818,-10.074485133245068,-10.822323222760758,-10.622823345979462,-11.625051783932742,-11.423661445570636
31,31,2023-06-03 15:45:00,-9.619046171234016,-9.416356089265802,-9.486472201800932,-9.181216636184477,-8.559143893199963,-8.354745293282736,-8.92520646931821,-8.76154030620047,-10.216579304976833,-10.053221726354542,-10.80523600534508,-10.60749810576767,-11.625051783932742,-11.423661445570636
32,32,2023-06-03 16:15:00,-9.619046171234016,-9.416356089265802,-9.48967399868232,-9.199492597608486,-8.559143893199963,-8.354745293282736,-8.92520646931821,-8.76154030620047,-10.21602919554996,-10.051973317849992,-10.80489311619075,-10.601683564254536,-11.625051783932742,-11.423661445570636
33,33,2023-06-03 16:45:00,-9.619046171234016,-9.416356089265802,-9.511631459662896,-9.221194897619885,-8.559143893199963,-8.365444679289359,-8.923809992412636,-8.758990962081933,-10.137086319017442,-9.962719353909328,-10.799585310468077,-10.599820315358992,-11.624670596480655,-11.417719060948675
34,34,2023-06-03 17:15:00,-9.619046171234016,-9.416356089265802,-9.51337379070836,-9.224096899874716,-8.559143893199963,-8.365444679289359,-8.92520646931821,-8.76154030620047,-10.05993982353711,-9.888036928915984,-10.779889912354175,-10.56796795339486,-11.62420809131684,-11.415642050087392
35,35,2023-06-03 17:45:00,-9.61272568797694,-9.403408526701291,-9.51337379070836,-9.224096899874716,-8.547099774043756,-8.365444679289359,-8.944301408940342,-8.756133942891282,-10.021719347803938,-9.831829029793806,-10.758120414807111,-10.53746599579284,-11.620798688301058,-11.412798538667516
36,36,2023-06-03 18:15:00,-9.372537480442658,-9.150645425909364,-9.51337379070836,-9.224096899874716,-8.542473174930432,-8.365444679289359,-8.946215675043575,-8.77921455374192,-9.973716676453426,-9.788754158404636,-10.717500795674962,-10.487783601055863,-11.592333320989564,-11.383968234870531
